用語,読み,ページ,種類,分野,国,立場,開始年,終了年,時代,メモ
浮世絵,浮(うき)世(よ)絵(え),191;202,文化・流派,美術・建築,,,1680,1850,,
浮世草子,浮(うき)世(よ)草(ぞう)子(し),188,文化・流派,文学,,,1682,1750,,
宇佐神宮,宇(う)佐(さ)神(じん)宮(ぐう),47,寺社・遺跡・場所,神道,,,769,769,,
氏,氏(うじ),31,制度・役職,身分・社会構造,,,,,古墳,
氏上,氏(うじの)上(かみ),38,制度・役職,身分・社会構造,,,664,664,,
氏長者,氏(うじの)長(ちょう)者(じゃ),63,制度・役職,身分・社会構造,,,,,平安,
歌川国芳,歌(うた)川(がわ)国(くに)芳(よし),217,人物,美術・建築,日本,芸術家,1827,1861,,
宇田川玄随,宇(う)田(だ)川(がわ)玄(げん)随(ずい),198,人物,思想・学問,日本,学者・思想家,1793,1797,,
歌川広重,歌(うた)川(がわ)広(ひろ)重(しげ),217,人物,美術・建築,日本,芸術家,1833,1858,,
唄浄瑠璃,唄(うた)浄(じょう)瑠(る)璃(り),202,文化・流派,芸能,,,,,江戸,
宇多天皇,宇(う)多(だ)天(てん)皇(のう),62,人物,政治・政策,日本,天皇・皇族,887,897,,
打ちこわし,打(う)ちこわし,196,事件・戦争・乱,一揆・打ちこわし,,,,,江戸,
内臣,内(うちつ)臣(おみ),37,制度・役職,政治・政策,,,645,645,,
内蔵,内(うち)蔵(くら),33,制度・役職,政治・政策,,,,,古墳,
内村鑑三,内(うち)村(むら)鑑(かん)三(ぞう),262;289,人物,キリスト教;思想・学問,日本,学者・思想家,1891,1930,,
内村鑑三不敬事件,内(うち)村(むら)鑑(かん)三(ぞう)不(ふ)敬(けい)事(じ)件(けん),290,事件・戦争・乱,キリスト教;教育,,,1891,1891,,
有徳人,有(う)徳(とく)人(にん),102,その他,身分・社会構造;商業・流通・都市,,,,,鎌倉;室町,
宇野宗佑,宇(う)野(の)宗(そう)佑(すけ),360,人物,政治・政策,日本,政治家,1989,1989,,
駅家,駅家(うまや),44,制度・役職,商業・流通・都市,,,,,奈良,
厩戸王,厩(うまや)戸(と)王(おう),33,人物,政治・政策;仏教,日本,天皇・皇族,593,622,,聖徳太子のこと
梅原龍三郎,梅(うめ)原(はら)龍(りゅう)三(ざぶ)郎(ろう),299,人物,美術・建築,日本,芸術家,1914,1950,,
浦上教徒弾圧事件,浦(うら)上(かみ)教(きょう)徒(と)弾(だん)圧(あつ)事(じ)件(けん),243,事件・戦争・乱,キリスト教,,,1867,1873,,
盂蘭盆会,盂(う)蘭(ら)盆(ぼん)会(え),67,その他,仏教;生活・風俗,,,,,飛鳥;奈良;平安,
上絵付,上(うわ)絵(え)付(つけ),166,文化・流派,美術・建築,,,1640,1680,,
運脚,運(うん)脚(きゃく),41,制度・役職,土地・税制,,,,,奈良,
運慶,運(うん)慶(けい),108,人物,美術・建築;仏教,日本,芸術家,1180,1223,,
運上,運(うん)上(じょう),197,制度・役職,土地・税制;商業・流通・都市,,,,,江戸,
芸亭,芸(うん)亭(てい),51,寺社・遺跡・場所,教育;思想・学問,,,770,781,,
永享の乱,永(えい)享(きょう)の乱(らん),120,事件・戦争・乱,政変・事件・反乱,,,1438,1439,,
栄西,栄(えい)西(さい),106,人物,仏教,日本,僧侶・宗教家,1191,1215,,
叡尊,叡(えい)尊(そん),106,人物,仏教,日本,僧侶・宗教家,1240,1290,,
永仁の徳政令,永(えい)仁(にん)の徳(とく)政(せい)令(れい),103,法令・政策,政治・政策;身分・社会構造,,,1297,1297,,
永平寺,永(えい)平(へい)寺(じ),131,寺社・遺跡・場所,仏教,,,1244,1244,,
永楽通宝,永(えい)楽(らく)通(つう)宝(ほう),124,その他,貨幣・金融;対外関係,,,1411,1600,,
ええじゃないか,ええじゃないか,230,事件・戦争・乱,生活・風俗;一揆・打ちこわし,,,1867,1867,,
江川太郎左衛門,江(え)川(がわ)太(た)郎(ろう)左(ざ)衛(え)門(もん),213,人物,戦争・軍事;産業・工業,日本,武家,1840,1855,,江川英龍
駅制,駅(えき)制(せい),44,制度・役職,商業・流通・都市,,,,,奈良,
会合衆,会(え)合(ごう)衆(しゅう),136,組織・団体・政党,商業・流通・都市,,,1500,1569,,かいごうしゅう とも読む
江崎玲於奈,江(え)崎(さき)玲(れ)於(お)奈(な),351,人物,思想・学問,日本,学者・思想家,1973,1973,,
衛士,衛(え)士(じ),41,制度・役職,戦争・軍事,,,,,奈良,
蝦夷ヶ島,蝦(え)夷(ぞ)ヶ(が)島(しま),101;118,国・地域・王朝,北方・アイヌ,,,,,鎌倉;室町,
えた,えた,168,その他,身分・社会構造,,,,,江戸,
江田船山古墳出土鉄刀銘,江(え)田(た)船(ふな)山(やま)古(こ)墳(ふん)出(しゅつ)土(ど)鉄(てっ)刀(とう)銘(めい),21;31,書物・史料,考古,,,471,480,,
江戸,江(え)戸(ど),154;185,寺社・遺跡・場所,商業・流通・都市,,,1590,1867,,
江藤新平,江(え)藤(とう)新(しん)平(ぺい),246,人物,政治・政策;政変・事件・反乱,日本,政治家,1868,1874,,
江戸川乱歩,江(え)戸(ど)川(がわ)乱(らん)歩(ぽ),298,人物,文学,日本,文学者,1923,1950,,
江戸町会所,江(え)戸(ど)町(まち)会(かい)所(しょ),204,制度・役職,商業・流通・都市;政治・政策,,,1791,1791,,
エネルギー革命,エネルギー革(かく)命(めい),347,その他,産業・工業,,,1955,1970,,
榎本武揚,榎(えの)本(もと)武(たけ)揚(あき),228,人物,戦争・軍事;政治・政策,日本,武家;政治家,1868,1869,,
ABCD包囲陣,ABCD包(ほう)囲(い)陣(じん),318,その他,対外関係;戦争・軍事,,,1941,1941,,
海老名弾正,海(え)老(び)名(な)弾(だん)正(じょう),289,人物,キリスト教,日本,僧侶・宗教家,1880,1920,,
絵踏,絵(え)踏(ぶみ),159,制度・役職,キリスト教,,,1629,1857,,
江馬細香,江(え)馬(ま)細(さい)香(こう),217,人物,美術・建築;女性,日本,芸術家,1810,1861,,
蝦夷,蝦夷(えみし),44,その他,北方・アイヌ,,,,,飛鳥;奈良;平安,
恵美押勝の乱,恵(え)美(みの)押(おし)勝(かつ)の乱(らん),47,事件・戦争・乱,政変・事件・反乱,,,764,764,,
MSA協定,MSA協(きょう)定(てい),340,条約・協定・会議,対外関係;戦争・軍事,,,1954,1954,,
撰銭,撰(えり)銭(ぜに),124,その他,貨幣・金融,,,,,室町;戦国,
撰銭令,撰(えり)銭(ぜに)令(れい),124,法令・政策,貨幣・金融,,,1500,1569,,
LT貿易,LT貿(ぼう)易(えき),343,その他,対外関係;商業・流通・都市,,,1962,1962,,
円覚寺舎利殿,円(えん)覚(がく)寺(じ)舎(しゃ)利(り)殿(でん),108,作品,美術・建築;仏教,,,1285,1400,,
延喜格式,延(えん)喜(ぎ)格(きゃく)式(しき),57;63,法令・政策,法制・制度,,,907,967,,
延喜・天暦の治,延(えん)喜(ぎ)・天(てん)暦(りゃく)の治(ち),63,その他,政治・政策,,,897,967,,
延喜の荘園整理令,延(えん)喜(ぎ)の荘(しょう)園(えん)整(せい)理(り)令(れい),62;69,法令・政策,土地・税制,,,902,902,,
延久の荘園整理令,延(えん)久(きゅう)の荘(しょう)園(えん)整(せい)理(り)令(れい),76,法令・政策,土地・税制,,,1069,1069,,
猿人,猿(えん)人(じん),6,その他,考古,,,,,旧石器,
円・銭・厘,円(えん)・銭(せん)・厘(りん),241,制度・役職,貨幣・金融,,,1871,1871,,
円タク,円(えん)タク,296,その他,生活・風俗,,,1924,1935,,
円珍,円(えん)珍(ちん),59,人物,仏教,日本,僧侶・宗教家,853,891,,
円筒埴輪,円(えん)筒(とう)埴(はに)輪(わ),25,その他,考古;美術・建築,,,,,古墳,
縁日,縁(えん)日(にち),218,その他,生活・風俗,,,,,江戸,
円仁,円(えん)仁(にん),59,人物,仏教,日本,僧侶・宗教家,838,864,,
円ブロック,円(えん)ブロック,316,その他,貨幣・金融;対外関係,,,1932,1945,,
円墳,円(えん)墳(ぷん),24,その他,考古,,,,,古墳,
塩浦,塩(えん)浦(ぽ),117,寺社・遺跡・場所,対外関係,,,1426,1510,,
円本,円(えん)本(ぽん),297,その他,文学;生活・風俗,,,1926,1930,,
延暦寺,延(えん)暦(りゃく)寺(じ),59,寺社・遺跡・場所,仏教,,,788,788,,
延暦寺焼討ち,延(えん)暦(りゃく)寺(じ)焼(やき)討(う)ち,141,事件・戦争・乱,戦争・軍事;仏教,,,1571,1571,,
応安新式,応(おう)安(あん)新(しん)式(しき),130,書物・史料,文学,,,1372,1372,,
奥羽越列藩同盟,奥(おう)羽(う)越(えつ)列(れっ)藩(ぱん)同(どう)盟(めい),228,組織・団体・政党,戦争・軍事,,,1868,1868,,
応永の外寇,応(おう)永(えい)の外(がい)寇(こう),117,事件・戦争・乱,対外関係;戦争・軍事,,,1419,1419,,
応永の乱,応(おう)永(えい)の乱(らん),115,事件・戦争・乱,政変・事件・反乱,,,1399,1399,,
奥州道中,奥(おう)州(しゅう)道(どう)中(ちゅう),182,寺社・遺跡・場所,商業・流通・都市,,,,,江戸,
奥州藤原氏,奥(おう)州(しゅう)藤(ふじ)原(わら)氏(し),80;92,人物,北方・アイヌ;政治・政策,日本,武家,1087,1189,,
往生伝,往(おう)生(じょう)伝(でん),67,書物・史料,仏教,,,,,平安,
往生要集,往(おう)生(じょう)要(よう)集(しゅう),66,書物・史料,仏教,,,985,985,,
王政復古の大号令,王(おう)政(せい)復(ふっ)古(こ)の大(だい)号(ごう)令(れい),227,法令・政策,政治・政策,,,1867,1867,,
汪兆銘,汪(おう)兆(ちょう)銘(めい),312,人物,対外関係,中国,政治家,1938,1944,,
応天門の変,応(おう)天(てん)門(もん)の変(へん),62;85,事件・戦争・乱,政変・事件・反乱,,,866,866,,
応仁の乱,応(おう)仁(にん)の乱(らん),122,事件・戦争・乱,戦争・軍事;政変・事件・反乱,,,1467,1477,,
黄檗宗,黄(おう)檗(ばく)宗(しゅう),160,文化・流派,仏教,,,1654,1654,,
淡海三船,淡(おう)海(みの)三(み)船(ふね),51,人物,文学,日本,公家・貴族,751,785,,
近江令,近(おう)江(み)令(りょう),38,法令・政策,法制・制度,,,668,668,,
押領使,押(おう)領(りょう)使(し),71,制度・役職,戦争・軍事,,,,,平安,
大海人皇子,大(おお)海(あ)人(まの)皇(おう)子(じ),38,人物,政変・事件・反乱,日本,天皇・皇族,671,673,,天武天皇
大井憲太郎,大(おお)井(い)憲(けん)太(た)郎(ろう),250,人物,社会運動,日本,社会運動家,1874,1892,,
大内兵衛,大(おお)内(うち)兵(ひょう)衛(え),315;336,人物,思想・学問;社会運動,日本,学者・思想家,1937,1950,,
大内義弘,大(おお)内(うち)義(よし)弘(ひろ),115,人物,戦争・軍事,日本,武家,1380,1399,,
大江健三郎,大(おお)江(え)健(けん)三(ざぶ)郎(ろう),350,人物,文学,日本,文学者,1958,1994,,
大江広元,大(おお)江(えの)広(ひろ)元(もと),91,人物,政治・政策,日本,公家・貴族,1184,1225,,
大江匡房,大(おお)江(えの)匡(まさ)房(ふさ),76,人物,政治・政策;思想・学問,日本,公家・貴族,1069,1111,,
大岡忠相,大(おお)岡(おか)忠(ただ)相(すけ),192;193,人物,政治・政策,日本,武家,1717,1751,,
大臣,大(おお)臣(おみ),31,制度・役職,政治・政策,,,,,古墳,
大鏡,大(おお)鏡(かがみ),83,書物・史料,文学,,,1100,1125,,
大川周明,大(おお)川(かわ)周(しゅう)明(めい),273,人物,思想・学問;政変・事件・反乱,日本,学者・思想家,1919,1932,,
大木喬任,大(おお)木(き)喬(たか)任(とう),237,人物,教育;政治・政策,日本,政治家,1871,1873,,
大君,大(おお)君(きみ),26,制度・役職,政治・政策,,,,,古墳,
大久保利通,大(おお)久(く)保(ぼ)利(とし)通(みち),226,人物,政治・政策,日本,政治家,1862,1878,,
大隈重信,大(おお)隈(くま)重(しげ)信(のぶ),248;256;260;268;290,人物,政治・政策;教育,日本,政治家,1869,1916,,
大蔵,大(おお)蔵(くら),33,制度・役職,政治・政策,,,,,古墳,
大蔵永常,大(おお)蔵(くら)永(なが)常(つね),180,人物,農林漁業,日本,学者・思想家,1800,1859,,
大御所（前将軍）,大(おお)御(ご)所(しょ)（前(ぜん)将(しょう)軍(ぐん)）,155;208,制度・役職,政治・政策,,,1605,1841,,
大御所政治,大(おお)御(ご)所(しょ)政(せい)治(じ),208,その他,政治・政策,,,1793,1841,,
大阪会議,大(おお)阪(さか)会(かい)議(ぎ),247,条約・協定・会議,政治・政策,,,1875,1875,,
大阪事件,大(おお)阪(さか)事(じ)件(けん),250,事件・戦争・乱,社会運動;政変・事件・反乱,,,1885,1885,,
大坂城,大(おお)坂(さか)城(じょう),142,寺社・遺跡・場所,美術・建築;政治・政策,,,1583,1615,,
大坂の陣,大(おお)坂(さか)の陣(じん),155,事件・戦争・乱,戦争・軍事,,,1614,1615,,
大阪万博,大(おお)阪(さか)万(ばん)博(ぱく),351,その他,生活・風俗,,,1970,1970,,
大阪紡績会社,大(おお)阪(さか)紡(ぼう)績(せき)会(がい)社(しゃ),281,組織・団体・政党,産業・工業,,,1882,1883,,
大阪砲兵工廠,大(おお)阪(さか)砲(ほう)兵(へい)工(こう)廠(しょう),240,組織・団体・政党,産業・工業;戦争・軍事,,,1870,1870,,
大塩の乱,大(おお)塩(しお)の乱(らん),209,事件・戦争・乱,政変・事件・反乱;一揆・打ちこわし,,,1837,1837,,
大塩平八郎,大(おお)塩(しお)平(へい)八(はち)郎(ろう),209,人物,政変・事件・反乱;思想・学問,日本,学者・思想家,1830,1837,,
大新聞,大(おお)新(しん)聞(ぶん),251,その他,文学;生活・風俗,,,1874,1890,,
大杉栄,大(おお)杉(すぎ)栄(さかえ),276,人物,社会運動;労働運動,日本,社会運動家,1906,1923,,
大田南畝,大(おお)田(た)南(なん)畝(ぽ),201,人物,文学,日本,文学者,1767,1823,,
大田文,大(おお)田(た)文(ぶみ),79;93,書物・史料,土地・税制,,,1150,1333,,要確認：ページが「93，79」と読める
大塚久雄,大(おお)塚(つか)久(ひさ)雄(お),337,人物,思想・学問,日本,学者・思想家,1945,1965,,
大槻玄沢,大(おお)槻(つき)玄(げん)沢(たく),198,人物,思想・学問,日本,学者・思想家,1786,1827,,
大津事件,大(おお)津(つ)事(じ)件(けん),257,事件・戦争・乱,対外関係;法制・制度,,,1891,1891,,
大津皇子,大(おお)津(つの)皇(み)子(こ),51,人物,文学,日本,天皇・皇族,680,686,,
大津宮,大(おお)津(つの)宮(みや),38,寺社・遺跡・場所,政治・政策,,,667,672,,
大伴旅人,大(おお)伴(ともの)旅(たび)人(と),51,人物,文学,日本,公家・貴族,720,731,,
大友皇子,大(おお)友(ともの)皇(おう)子(じ),38,人物,政変・事件・反乱,日本,天皇・皇族,671,672,,
大友義鎮（宗麟）,大(おお)友(とも)義(よし)鎮(しげ)（宗(そう)麟(りん)）,139,人物,キリスト教,日本,武家,1550,1587,,
太安万侶（安麻呂）,太(おおの)安(やす)万(ま)侶(ろ)（安(やす)麻(ま)呂(ろ)）,51,人物,文学;思想・学問,日本,公家・貴族,712,723,,
大祓,大(おお)祓(はらえ),69,その他,神道,,,,,平安,要確認：用語名が読み取りにくい
大原幽学,大(おお)原(はら)幽(ゆう)学(がく),211,人物,農林漁業;思想・学問,日本,学者・思想家,1838,1858,,
大平正芳,大(おお)平(ひら)正(まさ)芳(よし),355,人物,政治・政策,日本,政治家,1978,1980,,
大峰山,大(おお)峰(みね)山(さん),60,寺社・遺跡・場所,仏教,,,,,平安,
大神神社,大(おお)神(みわ)神(じん)社(じゃ),30,寺社・遺跡・場所,神道,,,,,古墳,
大連,大(おお)連(むらじ),31,制度・役職,政治・政策,,,,,古墳,
大村純忠,大(おお)村(むら)純(すみ)忠(ただ),139;145;149,人物,キリスト教,日本,武家,1563,1587,,
大村益次郎,大(おお)村(むら)益(ます)次(じ)郎(ろう),227;238,人物,戦争・軍事,日本,軍人,1866,1869,,
大目付,大(おお)目(め)付(つけ),156,制度・役職,政治・政策,,,1632,1867,,
大森貝塚,大(おお)森(もり)貝(かい)塚(づか),10,寺社・遺跡・場所,考古,,,,,縄文,
大山崎油神人,大(おお)山(やま)崎(ざき)油(あぶら)神(じ)人(にん),124,組織・団体・政党,商業・流通・都市,,,,,室町,
大輪田泊,大(おお)輪(わ)田(だの)泊(とまり),83,寺社・遺跡・場所,対外関係;商業・流通・都市,,,1173,1173,,
岡倉天心,岡(おか)倉(くら)天(てん)心(しん),292,人物,美術・建築;思想・学問,日本,学者・思想家,1887,1913,,
御蔭参り,御(お)蔭(かげ)参(まい)り,230,その他,生活・風俗;神道,,,,,江戸,
小笠原諸島,小(お)笠(がさ)原(わら)諸(しょ)島(とう),246,国・地域・王朝,対外関係,,,1876,1876,,
岡田寒泉,岡(おか)田(だ)寒(かん)泉(せん),205,人物,思想・学問,日本,学者・思想家,1789,1794,,
